cod_municipio,nome_municipio,regiao_estimada,area_total_ha,area_soja_ha,area_milho_ha,area_arroz_ha,area_maca_ha,valor_producao_mil_reais,rebanho_bovinos,rebanho_suinos,rebanho_aves,estabelecimentos_total,estabelecimentos_grandes_100ha_plus
4205902,Gaspar,Outras,10632,886,1283,1679,21,76017,19315,9142,298490,2437,30
4206009,Governador Celso Ramos,Outras,4272,846,886,1777,90,147814,25602,13411,405414,1143,53
4206108,Grão-Pará,Outras,5883,2764,3716,1311,90,46841,38746,26676,181725,1287,122
4206207,Gravatal,Outras,14576,2354,1841,1140,167,76977,46782,5260,737633,1712,124
4206306,Guabiruba,Outras,10858,1623,1082,1485,264,53726,43877,32054,118876,2434,110
4206405,Guaraciaba,Outras,6818,2301,2886,1374,236,76339,29952,26336,211375,617,124
4206504,Guaramirim,Outras,13723,1186,859,723,227,132747,17457,26481,535957,2288,89
4206603,Guarujá do Sul,Outras,9198,392,2879,925,344,121997,11621,12151,695433,611,144
4206652,Guatambú,Outras,10358,2354,2342,1673,362,121101,43877,8729,398713,868,61
4206702,Herval d'Oeste,Outras,4768,2796,3175,167,458,64377,19465,8502,202895,1591,50
4206751,Ibiam,Outras,4614,2738,2132,1478,300,139327,38972,27974,164782,1038,65
4206801,Ibicaré,Outras,15496,1880,981,1553,325,26065,23368,15555,472036,1270,104
4206900,Ibirama,Outras,8753,2407,2480,536,476,51233,11996,28096,158515,1336,41
4207007,Içara,Outras,5614,2555,1181,141,96,148315,12323,22567,215680,1663,93
4207106,Ilhota,Outras,14546,394,2235,672,7,28226,21538,5577,284638,1022,88
4207205,Imaruí,Outras,14757,2747,3838,890,431,33090,36775,31249,415020,2387,121
4207304,Imbituba,Outras,14308,2160,2285,467,480,26693,17407,19284,797662,994,143
4207403,Imbuia,Outras,16466,1513,3733,1334,60,49009,16760,22556,395451,1344,109
4207502,Indaial,Vale,11339,564,1638,1858,0,53751,17965,13600,171742,432,93
4207577,Iomerê,Outras,8398,1383,2375,1581,401,127725,11158,6320,762361,2243,32
4207601,Ipira,Outras,15713,2064,2413,1512,384,38153,19200,30256,364660,1952,137
4207650,Iporã do Oeste,Outras,17950,2729,2424,1268,489,67674,12773,12851,782530,1760,47
4207684,Ipuaçu,Outras,10952,323,3138,276,346,76073,27242,7552,393504,561,71
4207700,Ipumirim,Outras,10766,1491,2191,1247,441,47946,27905,14500,559037,936,109
4207759,Iraceminha,Outras,5339,1038,2521,1298,315,27888,22289,29009,100559,2134,95
4207809,Irani,Outras,17519,2073,3019,1781,240,83630,30055,16734,716096,2394,89
4207858,Irati,Outras,17007,1796,2055,469,325,87714,22880,24604,131559,1345,98
4207908,Irineópolis,Outras,14556,1657,2425,1251,493,91569,14113,8942,218422,505,126
4208005,Itá,Outras,13704,1300,2850,1928,344,40540,13777,6829,241896,1316,40
4208104,Itaiópolis,Outras,13834,1971,2305,156,81,149932,38185,28294,171555,1143,72
4208203,Itajaí,Vale,14654,1764,2873,1148,0,110033,15797,9259,297489,995,47
4208302,Itapema,Outras,13377,2658,1641,129,438,133091,25428,27187,96881,1969,116
4208401,Itapiranga,Outras,16259,1441,3868,600,181,145456,9722,16172,230101,1254,91
4208450,Itapoá,Outras,5153,695,3050,580,178,142040,39794,9975,407215,1476,121
4208500,Ituporanga,Outras,6124,2977,1321,835,293,149129,27618,30429,530810,570,47
4208609,Jaborá,Outras,4123,2973,893,1175,340,25788,44058,23097,701026,1187,36
4208708,Jacinto Machado,Outras,11244,1153,3046,321,314,139666,21726,26393,467464,2052,36
4208807,Jaguaruna,Sul,23454,3920,4755,11852,0,119995,34058,46259,908423,1248,94
4208906,Jaraguá do Sul,Outras,10532,475,1941,1200,24,72188,44483,11416,313657,1305,53
4208955,Jardinópolis,Outras,6464,1008,2822,1146,84,93337,46801,20999,491920,1290,130
4209003,Joaçaba,Outras,13861,620,3783,1649,244,85123,48099,7955,793533,2429,84
4209102,Joinville,Outras,16529,822,2803,132,442,143364,21744,19238,110979,1244,108
4209151,José Boiteux,Outras,6992,706,3453,344,417,55159,36353,8903,320631,1598,59
4209177,Jupiá,Outras,13054,1409,2174,1337,268,53637,9857,28494,244895,1988,118
4209201,Lacerdópolis,Outras,6556,1057,1822,325,149,106332,30752,7354,272236,2160,135
4209300,Lages,Serrana,24415,623,1969,0,2853,44674,34495,27642,462692,911,117
4209409,Laguna,Outras,12317,1967,3966,1404,377,56821,38490,14021,435423,2073,138
4209458,Lajeado Grande,Outras,11074,1204,2056,587,203,28670,36666,28910,129859,2456,126
4209508,Laurentino,Outras,5548,2651,2276,803,178,76749,20474,23086,647359,960,135
4209607,Lauro Müller,Outras,16456,1883,3227,619,119,83868,27382,20551,140638,2477,105
4209706,Lebon Régis,Outras,17035,1236,1789,1703,433,133514,19704,32122,414587,1397,38
4209805,Leoberto Leal,Outras,5310,2679,3297,139,441,112278,16446,14577,518637,969,62
4209854,Lindóia do Sul,Outras,6584,593,1785,870,175,29801,41581,24483,559747,1480,98
4209904,Lontras,Outras,10356,1728,1038,462,61,26640,41252,22948,255586,1747,78
4210001,Luiz Alves,Outras,12551,2929,1543,799,89,110092,32240,13835,171663,1502,103
4210035,Luzerna,Outras,15349,1258,894,422,168,115569,18753,16926,86805,2418,88
4210050,Macieira,Outras,12648,1408,1220,1473,327,38721,49952,27454,590550,2382,30
4210100,Mafra,Outras,6289,2324,2741,1300,100,95913,28857,7222,463069,1510,120
4210209,Major Gercino,Outras,6833,1559,2580,1074,88,66253,24252,17568,567996,2463,108
4210308,Major Vieira,Outras,13058,1836,2144,771,444,43611,37786,34802,200574,2026,104
4210407,Maracajá,Outras,5704,1463,2676,1191,251,106766,42516,26968,465754,2196,73
4210506,Maravilha,Oeste,17346,4440,4218,21,0,261085,29418,358075,1822844,2244,155
4210555,Marema,Outras,13835,818,3613,708,249,141280,34321,16456,717994,611,130
4210605,Massaranduba,Outras,15168,2178,2851,474,432,42193,9992,9525,376784,1232,80
4210704,Matos Costa,Outras,17148,1297,1829,1321,162,119943,29391,29337,101074,952,123
4210803,Meleiro,Sul,17952,3308,4380,2108,0,74602,52480,24170,393769,812,47
4210852,Mirim Doce,Outras,6474,2613,2005,1929,180,70812,9633,14886,169316,1749,90
4210902,Modelo,Outras,7158,1982,1711,617,253,33676,40311,24424,321956,1420,148
4211009,Mondaí,Outras,15907,585,1471,758,381,88436,18345,29846,259750,2203,108
4211058,Monte Carlo,Outras,7455,2550,1050,1889,343,34864,24801,23257,85339,1458,83
4211108,Monte Castelo,Outras,17385,1735,1733,1905,421,59925,36893,20532,300639,519,34
4211207,Morro da Fumaça,Outras,14871,2057,2122,1102,492,76149,20992,7949,436442,2216,125
4211256,Morro Grande,Outras,14228,2358,3541,1159,323,130130,19358,28964,192499,583,125
4211306,Navegantes,Outras,9036,2764,1805,1945,246,145083,9680,18326,293642,726,84
4211405,Nova Erechim,Outras,7501,760,1118,390,378,144406,49847,33210,346224,2169,56
4211454,Nova Itaberaba,Outras,12034,1418,1363,1318,182,134344,44155,15362,341634,2435,122
4211504,Nova Trento,Outras,7313,471,1462,763,252,69767,17971,8316,148654,1240,69
4211603,Nova Veneza,Outras,12163,2568,1365,1468,136,86953,48361,26022,432496,1925,91
4211652,Novo Horizonte,Outras,6810,1031,1627,1507,294,25963,13613,34175,712089,1979,101
4211702,Orleans,Outras,15317,2525,2638,1547,225,119723,33540,14426,771243,811,126
4211751,Otacílio Costa,Outras,9669,1615,1521,693,225,108894,36440,33675,625628,1471,84
4211801,Ouro,Outras,15980,2021,3520,1965,116,38712,43169,12333,145839,1652,58
4211850,Ouro Verde,Outras,14611,2924,2590,1322,441,38204,14673,23705,200188,701,103
4211876,Paial,Outras,7977,668,2706,916,180,29588,12501,12268,780429,1532,39
4211892,Painel,Outras,13712,2778,2090,1118,243,116862,24075,6450,451805,1926,144
4211900,Palhoça,Outras,15244,850,3630,1909,155,63036,44780,28437,87413,1757,52
4212007,Palma Sola,Outras,14501,2716,3092,1225,288,133772,38957,5943,646647,2452,146
4212056,Palmeira,Outras,6564,956,1040,1582,178,70488,46862,22148,600349,572,144
4212106,Palmitos,Oeste,13131,5944,3779,471,0,76374,61843,144394,3836658,1678,202
4212205,Papanduva,Outras,17709,2640,1887,532,384,144736,12014,10837,735621,1962,73
4212239,Paraíso,Outras,14625,1010,2280,607,348,26836,30240,19329,728924,1522,97
4212254,Passo de Torres,Outras,4079,1452,2469,1132,76,26077,19237,24312,308348,1925,124
4212270,Passos Maia,Outras,9019,2804,2567,699,24,72776,36459,26727,705314,1529,123
4212304,Paulo Lopes,Outras,14732,2476,3611,1101,25,51111,41295,8982,370455,1337,77
4212403,Pedras Grandes,Outras,8087,1105,1237,243,261,97384,36553,17061,485808,1994,80
4212502,Penha,Outras,7921,1943,2864,682,277,102558,32055,5293,772853,580,94
4212601,Peritiba,Outras,9727,2827,3690,1066,114,114648,15240,9506,634981,2037,130
4212650,Pescaria Brava,Outras,11784,1468,3376,1129,384,70067,20731,8710,91018,2238,77
4212700,Petrolândia,Outras,16587,1487,1046,1989,243,134815,39296,8741,796535,660,51
4212809,Balneário Piçarras,Outras,13675,303,2171,1651,97,114270,27719,22182,741843,805,73
4212908,Pinhalzinho,Outras,8850,2494,2087,725,303,100504,14167,34766,351839,2430,76
4213005,Pinheiro Preto,Outras,6077,1123,1388,266,388,57035,27878,5285,524973,559,123
4213104,Piratuba,Outras,6038,1726,1952,918,41,96228,22879,16745,403205,2229,33
4213153,Planalto Alegre,Outras,6727,1851,2798,1071,264,29941,19236,17114,359318,2086,93
4213203,Pomerode,Outras,15495,1373,3609,520,423,82690,11262,13243,570783,1289,79
4213302,Ponte Alta,Outras,5568,429,2230,1128,462,37390,25876,22128,366737,2121,82
4213351,Ponte Alta do Norte,Outras,17355,941,1735,482,215,129842,48277,19732,543750,980,46
4213401,Ponte Serrada,Outras,15688,2223,1584,921,332,114771,24201,34260,189870,2447,116
4213500,Porto Belo,Outras,14020,614,967,314,120,57490,9860,28043,337847,729,38
4213609,Porto União,Outras,12926,1173,3190,857,443,87100,33529,30784,97841,692,148
4213708,Pouso Redondo,Outras,16166,2535,3780,287,253,114809,25989,33533,127350,991,80
4213807,Praia Grande,Outras,10779,1875,1621,347,321,77281,23737,25004,347996,1297,86
4213906,Presidente Castello Branco,Outras,4253,1897,1764,472,391,52020,40755,26414,171887,514,120
4214003,Presidente Getúlio,Outras,15694,2807,3558,1324,291,102912,9028,15060,192782,2347,86
4214102,Presidente Nereu,Outras,9169,1806,3467,596,457,50865,11680,31774,607312,1895,135
4214151,Princesa,Outras,7203,2926,1319,427,27,51692,20320,27226,607872,649,108
4214201,Quilombo,Oeste,31631,11531,7789,319,0,169745,48281,278352,1129775,829,103
4214300,Rancho Queimado,Outras,7934,1633,1912,1294,222,135463,41038,14336,96171,639,113
4214409,Rio das Antas,Outras,12430,2140,3851,358,73,36426,42670,9573,219224,1695,31
4214508,Rio do Campo,Outras,4969,1608,3059,899,59,65221,19929,8096,752156,2203,149
4214607,Rio do Oeste,Outras,7809,1714,3395,170,463,75443,36808,31864,781243,1047,149
4214706,Rio dos Cedros,Outras,6975,2455,2543,1901,233,133064,30537,27142,555250,1576,124
4214805,Rio do Sul,Outras,8460,2295,3442,1917,143,86036,8206,16509,629737,1915,53
4214904,Rio Fortuna,Outras,8863,2444,1092,404,160,45319,47211,14731,368856,2090,98
4215000,Rio Negrinho,Outras,13355,1697,1867,590,181,33686,31724,29615,370921,1370,114
4215059,Rio Rufino,Outras,6309,1296,1797,1696,22,130052,15899,20488,540067,992,124
4215075,Riqueza,Outras,10125,2882,2313,1836,456,135012,16270,17371,333256,1108,36
4215109,Rodeio,Outras,17358,1880,3359,1704,447,48477,29700,25128,670083,1715,89
4215208,Romelândia,Outras,15250,2498,3623,1115,442,47388,21841,33315,259213,2116,150
4215307,Salete,Outras,14591,1717,2860,233,160,144667,34912,28426,753061,1620,136
4215356,Saltinho,Outras,8026,1167,3103,926,235,27795,24088,14857,716241,1466,90
4215406,Salto Veloso,Outras,16379,2926,1016,1777,447,56605,37847,8678,166017,2174,124
4215455,Sangão,Outras,10865,920,1108,1379,210,72759,40810,33299,667449,2299,76
4215505,Santa Cecília,Outras,12328,1534,2086,806,287,91744,41121,25953,428887,998,50
4215554,Santa Helena,Outras,7421,2655,2894,686,99,85806,32285,26299,83552,1429,70
4215604,Santa Rosa de Lima,Outras,10503,1793,3496,1230,389,68251,36655,34976,144758,1146,103
4215653,Santa Rosa do Sul,Outras,5813,541,1344,1371,415,145183,16789,15343,392598,1360,136
4215679,Santa Terezinha,Outras,5207,1026,2864,189,138,115261,24381,34468,640175,2052,123
4215687,Santa Terezinha do Progresso,Outras,16637,2674,873,663,354,101853,42084,14757,687068,980,41
4215695,Santiago do Sul,Outras,13232,2218,3114,1543,251,100491,11996,7162,292541,564,124
4215703,Santo Amaro da Imperatriz,Outras,6629,1613,3573,1928,226,144429,44845,30376,630591,1927,143
4215752,São Bernardino,Outras,10470,314,1751,1931,354,54338,14912,13245,656520,1705,111
4215802,São Bento do Sul,Outras,8724,1885,1092,1800,132,112530,21387,5140,528583,1088,114
4215901,São Bonifácio,Outras,7284,2996,990,790,133,143824,21033,29790,165049,1391,119
4216008,São Carlos,Outras,12391,2034,2474,980,460,109206,36563,20191,248890,550,32
4216057,São Cristóvão do Sul,Outras,10522,1347,2161,1876,66,140054,22803,20628,520840,653,72
4216107,São Domingos,Outras,15179,2303,3505,623,392,106119,22699,16097,151900,1773,91
4216206,São Francisco do Sul,Outras,6666,727,2847,1741,294,61803,8393,11950,336651,2290,104
4216255,São João do Oeste,Outras,17772,1428,1894,1376,496,26139,27261,32401,465714,1724,41
4216305,São João Batista,Outras,4224,1658,1201,510,421,44711,19522,22473,684648,1081,119
4216354,São João do Itaperiú,Outras,11151,2935,1094,1596,139,37393,36043,18676,153831,1185,96
4216404,São João do Sul,Outras,4799,655,1865,1357,176,94024,31298,27636,551808,2449,49
4216503,São Joaquim,Serrana,8617,2803,3554,0,2833,76998,22682,15211,474707,1183,163
4216602,São José,Outras,4088,1946,2867,162,500,78053,25339,7309,598012,2461,112
4216701,São José do Cedro,Outras,17069,518,2878,962,242,59179,44532,6581,80875,671,90
4216800,São José do Cerrito,Outras,12274,948,2636,1786,423,145389,29423,8373,544971,2198,141
4216909,São Lourenço do Oeste,Outras,10465,1616,3341,1529,96,80362,27675,12358,371407,1550,54
4217006,São Ludgero,Outras,15835,1804,2331,390,401,25501,26321,15828,593406,2445,110
4217105,São Martinho,Outras,7930,769,2206,218,37,28572,11943,6363,730387,1223,65
4217154,São Miguel da Boa Vista,Oeste,24908,4847,11960,498,0,119750,27837,89577,1714471,2997,173
4217204,São Miguel do Oeste,Oeste,18798,7544,13732,40,0,287486,45610,55918,1591062,2214,99
4217253,São Pedro de Alcântara,Outras,8110,2879,3361,1905,241,134531,42274,30634,120155,1683,132
4217303,Saudades,Outras,10827,1942,3016,1123,365,35895,39615,23661,146248,855,56
4217402,Schroeder,Outras,6571,399,2671,1261,384,111892,13165,30652,435812,1718,139
4217501,Seara,Outras,8768,758,1818,1370,195,94541,33315,33975,781762,2031,135
4217550,Serra Alta,Outras,11361,2657,3210,1368,314,110546,29588,28777,622459,2303,34
4217600,Siderópolis,Outras,6347,2029,1401,1639,244,28942,34403,30760,89119,2319,77
4217709,Sombrio,Sul,23552,1603,5061,4965,0,111128,32414,30744,539798,2223,104
4217758,Sul Brasil,Outras,4975,2754,3512,109,20,92007,27368,33078,551132,1525,140
4217808,Taió,Outras,11394,1600,1684,567,483,46239,22452,28531,379940,1407,87
4217907,Tangará,Outras,5383,932,1565,271,310,40590,44957,18541,698768,1562,81
4217956,Tigrinhos,Outras,7245,311,911,1974,75,140449,16138,19878,644750,2335,77
4218004,Tijucas,Outras,10762,1981,2811,854,416,91218,17548,10394,517149,2413,150
4218103,Timbé do Sul,Outras,6255,1153,1686,1306,337,119459,17960,21779,161628,982,66
4218202,Timbó,Vale,8853,1159,1148,1495,0,80992,5607,8908,375845,1504,66
4218251,Timbó Grande,Vale,12590,761,1277,492,0,97891,22430,8967,64618,1200,24
4218301,Três Barras,Outras,13502,624,2814,1340,106,104803,30893,15716,533664,817,65
4218350,Treviso,Outras,17120,927,1163,316,300,91046,12249,15466,366822,1802,115
4218400,Treze de Maio,Outras,14941,2599,3164,1181,218,48846,19694,21709,484031,978,85
4218509,Treze Tílias,Outras,7665,549,2962,129,366,44527,13928,27689,518309,1691,128
4218608,Trombudo Central,Outras,10579,1326,3100,1203,11,128163,19095,20652,390205,676,115
4218707,Tubarão,Sul,9265,1738,3417,11903,0,90434,25296,38590,873469,2723,58
4218756,Tunápolis,Outras,11367,844,3916,1760,311,99999,47678,17865,761270,1568,50
4218806,Turvo,Sul,15836,3580,2554,6690,0,93971,44450,43146,380171,2049,139
4218855,União do Oeste,Outras,11261,2976,3374,1010,103,130121,44680,34643,635693,1406,115
4218905,Urubici,Serrana,18006,1519,3527,0,2443,145182,75807,22937,344005,1859,207
4218954,Urupema,Outras,15163,1196,3366,1825,182,86510,25611,26171,674299,912,118
4219002,Urussanga,Outras,5700,2351,2496,1792,462,100866,13708,23199,416577,1881,88
4219101,Vargeão,Outras,13105,941,3842,1683,367,149621,12544,30000,418061,1937,89
4219150,Vargem,Outras,10487,865,1420,1092,104,38146,30032,10977,600994,1997,147
4219176,Vargem Bonita,Outras,7743,1483,2259,1074,84,97086,18881,16349,244603,849,43
4219200,Vidal Ramos,Outras,16230,1299,1756,175,499,120395,23092,12448,127320,919,42
4219309,Videira,Outras,11342,2902,1197,1721,19,77784,26331,30374,509675,1342,45
4219358,Vitor Meireles,Outras,10620,2280,3438,1363,297,65156,12683,7216,553924,1237,47
4219408,Witmarsum,Outras,10394,437,3770,1480,203,96333,49342,13299,108882,1782,42
4219507,Xanxerê,Oeste,34514,6560,4168,162,0,268473,42593,204354,2413488,2156,112
4219606,Xavantina,Outras,8230,2360,1451,1182,429,90926,15940,10871,202681,2067,38
4219705,Xaxim,Outras,13903,879,1362,569,201,146687,48776,13632,339422,2130,144
4219853,Zortéa,Outras,16887,2543,1595,370,384,142444,37295,25828,359473,581,82
4220000,Balneário Rincão,Outras,5214,1709,3155,294,370,34580,35677,18315,173787,2114,135
